,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
100,小港區,房地(土地+建物),高雄市小港區青山街123巷1~30號,12.15,住,0,0,1090114,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840727,108.31,3,1,2,有,有,977982,9029,0,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLQLKHPFFCE78DA
101,大寮區,房地(土地+建物),高雄市大寮區仁德路16巷30弄1~30號,12.57,住,0,0,1081120,土地1建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821231,110.99000000000001,3,1,2,有,無,2980000,26849,0,0.0,0,0,RPQNMLKLKHPFFLE68CA
102,左營區,房地(土地+建物),高雄市左營區民族一路901巷26弄1~30號,8.57,住,0,0,1081227,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850712,94.6,2,2,1,有,有,3000000,31712,0,0.0,0,0,RPUNMLQLKHPFFEE98CA
103,楠梓區,房地(土地+建物),高雄市楠梓區德賢路555巷1~30號,9.55,住,0,0,1090102,土地1建物1車位0,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851028,134.47,3,2,2,有,有,3000000,22310,0,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLOJKHPFFEE18CA
104,左營區,房地(土地+建物),高雄市左營區新莊一路121~150號,8.94,住,0,0,1081227,土地1建物1車位0,四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830811,118.94,3,2,2,有,有,5620000,47251,0,0.0,0,0,RPVNMLNJKHPFFEE58CA
105,三民區,房地(土地+建物)+車位,高雄市三民區天祥二路1~30號,11.13,住,0,0,1081227,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,118.82,2,2,1,有,有,6460000,54368,坡道平面,0.0,0,0,RPUNMLPKKHPFFDE68CA
106,三民區,房地(土地+建物)+車位,高雄市三民區文安南街151~180號,21.4,住,0,0,1090114,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010927,151.97,3,2,2,有,有,11000000,72383,坡道平面,20.12,0,0,RPPPMLLKKHPFFDE97CA
107,前鎮區,房地(土地+建物)+車位,高雄市前鎮區民權二路220巷1~30號,8.91,住,0,0,1090110,土地2建物1車位1,十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,183.94,4,2,2,有,有,7780000,42296,坡道平面,0.0,0,0,RPXNMLQJKHPFFCE88CA
108,小港區,房地(土地+建物)+車位,高雄市小港區中安路871~900號,27.18,住,0,0,1081126,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031201,166.59,3,2,2,有,有,7700000,46221,坡道平面,0.0,0,屋況新，有裝潢,RPXOMLTKKHPFFCE76CA
109,前鎮區,房地(土地+建物)+車位,高雄市前鎮區三多二路421~450號,10.34,商,0,0,1081230,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910205,134.28,3,2,2,有,有,7800000,54466,坡道機械,5.76,800000,含增建或未登記建物。,RPQOMLLKKHPFFCE87CA
